id,Date,Year,Quarter,Month,Week,Country,Commodity Type,Commodity Category,Commodity,Movement,Units
0,2000-01-03T00:00:00.000Z,2000,1,1,1,Canada,C,Carload Traffic,10,Originated,2094.0
1,2000-01-03T00:00:00.000Z,2000,1,1,1,Canada,I,Intermodal Traffic,IC,Originated,6389.0
2,2000-01-03T00:00:00.000Z,2000,1,1,1,Canada,I,Intermodal Traffic,IT,Originated,2510.0
3,2000-01-03T00:00:00.000Z,2000,1,1,1,Canada,C,Carload Traffic,10,Received,
4,2000-01-03T00:00:00.000Z,2000,1,1,1,Canada,I,Intermodal Traffic,IC,Received,
5,2000-01-03T00:00:00.000Z,2000,1,1,1,Canada,I,Intermodal Traffic,IT,Received,405.0
6,2000-01-10T00:00:00.000Z,2000,1,1,2,Canada,C,Carload Traffic,10,Originated,
7,2000-01-10T00:00:00.000Z,2000,1,1,2,Canada,I,Intermodal Traffic,IC,Originated,
8,2000-01-10T00:00:00.000Z,2000,1,1,2,Canada,I,Intermodal Traffic,IT,Originated,2322.0
9,2000-01-10T00:00:00.000Z,2000,1,1,2,Canada,C,Carload Traffic,10,Received,572.0
10,2000-01-10T00:00:00.000Z,2000,1,1,2,Canada,I,Intermodal Traffic,IC,Received,2344.0
11,2000-01-10T00:00:00.000Z,2000,1,1,2,Canada,I,Intermodal Traffic,IT,Received,272.0
12,2000-01-17T00:00:00.000Z,2000,1,1,3,Canada,C,Carload Traffic,10,Originated,2938.0
13,2000-01-17T00:00:00.000Z,2000,1,1,3,Canada,I,Intermodal Traffic,IC,Originated,12611.0
14,2000-01-17T00:00:00.000Z,2000,1,1,3,Canada,I,Intermodal Traffic,IT,Originated,2730.0
15,2000-01-17T00:00:00.000Z,2000,1,1,3,Canada,C,Carload Traffic,10,Received,516.0
16,2000-01-17T00:00:00.000Z,2000,1,1,3,Canada,I,Intermodal Traffic,IC,Received,2224.0
17,2000-01-17T00:00:00.000Z,2000,1,1,3,Canada,I,Intermodal Traffic,IT,Received,368.0
18,2000-01-24T00:00:00.000Z,2000,1,1,4,Canada,C,Carload Traffic,10,Originated,2766.0
19,2000-01-24T00:00:00.000Z,2000,1,1,4,Canada,I,Intermodal Traffic,IC,Originated,
20,2000-01-24T00:00:00.000Z,2000,1,1,4,Canada,I,Intermodal Traffic,IT,Originated,3209.0
21,2000-01-24T00:00:00.000Z,2000,1,1,4,Canada,C,Carload Traffic,10,Received,598.0
22,2000-01-24T00:00:00.000Z,2000,1,1,4,Canada,I,Intermodal Traffic,IC,Received,923.0
23,2000-01-24T00:00:00.000Z,2000,1,1,4,Canada,I,Intermodal Traffic,IT,Received,399.0
24,2000-01-31T00:00:00.000Z,2000,1,1,5,Canada,C,Carload Traffic,10,Originated,
25,2000-01-31T00:00:00.000Z,2000,1,1,5,Canada,I,Intermodal Traffic,IC,Originated,16780.0
26,2000-01-31T00:00:00.000Z,2000,1,1,5,Canada,I,Intermodal Traffic,IT,Originated,
27,2000-01-31T00:00:00.000Z,2000,1,1,5,Canada,C,Carload Traffic,10,Received,
28,2000-01-31T00:00:00.000Z,2000,1,1,5,Canada,I,Intermodal Traffic,IC,Received,2902.0
29,2000-01-31T00:00:00.000Z,2000,1,1,5,Canada,I,Intermodal Traffic,IT,Received,375.0
30,2000-02-07T00:00:00.000Z,2000,1,2,6,Canada,C,Carload Traffic,10,Originated,2318.0
31,2000-02-07T00:00:00.000Z,2000,1,2,6,Canada,I,Intermodal Traffic,IC,Originated,
32,2000-02-07T00:00:00.000Z,2000,1,2,6,Canada,I,Intermodal Traffic,IT,Originated,2932.0
33,2000-02-07T00:00:00.000Z,2000,1,2,6,Canada,C,Carload Traffic,10,Received,
34,2000-02-07T00:00:00.000Z,2000,1,2,6,Canada,I,Intermodal Traffic,IC,Received,
35,2000-02-07T00:00:00.000Z,2000,1,2,6,Canada,I,Intermodal Traffic,IT,Received,400.0
36,2000-02-14T00:00:00.000Z,2000,1,2,7,Canada,C,Carload Traffic,10,Originated,2332.0
37,2000-02-14T00:00:00.000Z,2000,1,2,7,Canada,I,Intermodal Traffic,IC,Originated,12258.0
38,2000-02-14T00:00:00.000Z,2000,1,2,7,Canada,I,Intermodal Traffic,IT,Originated,
39,2000-02-14T00:00:00.000Z,2000,1,2,7,Canada,C,Carload Traffic,10,Received,
40,2000-02-14T00:00:00.000Z,2000,1,2,7,Canada,I,Intermodal Traffic,IC,Received,1791.0
41,2000-02-14T00:00:00.000Z,2000,1,2,7,Canada,I,Intermodal Traffic,IT,Received,
42,2000-02-21T00:00:00.000Z,2000,1,2,8,Canada,C,Carload Traffic,10,Originated,
43,2000-02-21T00:00:00.000Z,2000,1,2,8,Canada,I,Intermodal Traffic,IC,Originated,
44,2000-02-21T00:00:00.000Z,2000,1,2,8,Canada,I,Intermodal Traffic,IT,Originated,2814.0
45,2000-02-21T00:00:00.000Z,2000,1,2,8,Canada,C,Carload Traffic,10,Received,557.0
46,2000-02-21T00:00:00.000Z,2000,1,2,8,Canada,I,Intermodal Traffic,IC,Received,2265.0
47,2000-02-21T00:00:00.000Z,2000,1,2,8,Canada,I,Intermodal Traffic,IT,Received,411.0
48,2000-02-28T00:00:00.000Z,2000,1,2,9,Canada,C,Carload Traffic,10,Originated,3088.0
49,2000-02-28T00:00:00.000Z,2000,1,2,9,Canada,I,Intermodal Traffic,IC,Originated,21524.0
50,2000-02-28T00:00:00.000Z,2000,1,2,9,Canada,I,Intermodal Traffic,IT,Originated,4237.0
51,2000-02-28T00:00:00.000Z,2000,1,2,9,Canada,C,Carload Traffic,10,Received,
52,2000-02-28T00:00:00.000Z,2000,1,2,9,Canada,I,Intermodal Traffic,IC,Received,
53,2000-02-28T00:00:00.000Z,2000,1,2,9,Canada,I,Intermodal Traffic,IT,Received,616.0
54,2000-03-06T00:00:00.000Z,2000,1,3,10,Canada,C,Carload Traffic,10,Originated,2608.0
55,2000-03-06T00:00:00.000Z,2000,1,3,10,Canada,I,Intermodal Traffic,IC,Originated,14908.0
56,2000-03-06T00:00:00.000Z,2000,1,3,10,Canada,I,Intermodal Traffic,IT,Originated,3578.0
57,2000-03-06T00:00:00.000Z,2000,1,3,10,Canada,C,Carload Traffic,10,Received,673.0
58,2000-03-06T00:00:00.000Z,2000,1,3,10,Canada,I,Intermodal Traffic,IC,Received,
59,2000-03-06T00:00:00.000Z,2000,1,3,10,Canada,I,Intermodal Traffic,IT,Received,
60,2000-03-13T00:00:00.000Z,2000,1,3,11,Canada,C,Carload Traffic,10,Originated,
61,2000-03-13T00:00:00.000Z,2000,1,3,11,Canada,I,Intermodal Traffic,IC,Originated,15811.0
62,2000-03-13T00:00:00.000Z,2000,1,3,11,Canada,I,Intermodal Traffic,IT,Originated,2155.0
63,2000-03-13T00:00:00.000Z,2000,1,3,11,Canada,C,Carload Traffic,10,Received,
64,2000-03-13T00:00:00.000Z,2000,1,3,11,Canada,I,Intermodal Traffic,IC,Received,2357.0
65,2000-03-13T00:00:00.000Z,2000,1,3,11,Canada,I,Intermodal Traffic,IT,Received,489.0
66,2000-03-20T00:00:00.000Z,2000,1,3,12,Canada,C,Carload Traffic,10,Originated,2729.0
67,2000-03-20T00:00:00.000Z,2000,1,3,12,Canada,I,Intermodal Traffic,IC,Originated,12753.0
68,2000-03-20T00:00:00.000Z,2000,1,3,12,Canada,I,Intermodal Traffic,IT,Originated,3543.0
69,2000-03-20T00:00:00.000Z,2000,1,3,12,Canada,C,Carload Traffic,10,Received,652.0
70,2000-03-20T00:00:00.000Z,2000,1,3,12,Canada,I,Intermodal Traffic,IC,Received,3267.0
71,2000-03-20T00:00:00.000Z,2000,1,3,12,Canada,I,Intermodal Traffic,IT,Received,501.0
72,2000-03-27T00:00:00.000Z,2000,1,3,13,Canada,C,Carload Traffic,10,Originated,
73,2000-03-27T00:00:00.000Z,2000,1,3,13,Canada,I,Intermodal Traffic,IC,Originated,11390.0
74,2000-03-27T00:00:00.000Z,2000,1,3,13,Canada,I,Intermodal Traffic,IT,Originated,2402.0
75,2000-03-27T00:00:00.000Z,2000,1,3,13,Canada,C,Carload Traffic,10,Received,
76,2000-03-27T00:00:00.000Z,2000,1,3,13,Canada,I,Intermodal Traffic,IC,Received,2245.0
77,2000-03-27T00:00:00.000Z,2000,1,3,13,Canada,I,Intermodal Traffic,IT,Received,
78,2000-04-03T00:00:00.000Z,2000,2,4,14,Canada,C,Carload Traffic,10,Originated,3060.0
79,2000-04-03T00:00:00.000Z,2000,2,4,14,Canada,I,Intermodal Traffic,IC,Originated,13929.0
80,2000-04-03T00:00:00.000Z,2000,2,4,14,Canada,I,Intermodal Traffic,IT,Originated,3816.0
81,2000-04-03T00:00:00.000Z,2000,2,4,14,Canada,C,Carload Traffic,10,Received,847.0
82,2000-04-03T00:00:00.000Z,2000,2,4,14,Canada,I,Intermodal Traffic,IC,Received,1903.0
83,2000-04-03T00:00:00.000Z,2000,2,4,14,Canada,I,Intermodal Traffic,IT,Received,429.0
84,2000-04-10T00:00:00.000Z,2000,2,4,15,Canada,C,Carload Traffic,10,Originated,2557.0
85,2000-04-10T00:00:00.000Z,2000,2,4,15,Canada,I,Intermodal Traffic,IC,Originated,14381.0
86,2000-04-10T00:00:00.000Z,2000,2,4,15,Canada,I,Intermodal Traffic,IT,Originated,
87,2000-04-10T00:00:00.000Z,2000,2,4,15,Canada,C,Carload Traffic,10,Received,793.0
88,2000-04-10T00:00:00.000Z,2000,2,4,15,Canada,I,Intermodal Traffic,IC,Received,2807.0
89,2000-04-10T00:00:00.000Z,2000,2,4,15,Canada,I,Intermodal Traffic,IT,Received,
90,2000-04-17T00:00:00.000Z,2000,2,4,16,Canada,C,Carload Traffic,10,Originated,2061.0
91,2000-04-17T00:00:00.000Z,2000,2,4,16,Canada,I,Intermodal Traffic,IC,Originated,
92,2000-04-17T00:00:00.000Z,2000,2,4,16,Canada,I,Intermodal Traffic,IT,Originated,1745.0
93,2000-04-17T00:00:00.000Z,2000,2,4,16,Canada,C,Carload Traffic,10,Received,480.0
94,2000-04-17T00:00:00.000Z,2000,2,4,16,Canada,I,Intermodal Traffic,IC,Received,2393.0
95,2000-04-17T00:00:00.000Z,2000,2,4,16,Canada,I,Intermodal Traffic,IT,Received,
96,2000-04-24T00:00:00.000Z,2000,2,4,17,Canada,C,Carload Traffic,10,Originated,2595.0
97,2000-04-24T00:00:00.000Z,2000,2,4,17,Canada,I,Intermodal Traffic,IC,Originated,14230.0
98,2000-04-24T00:00:00.000Z,2000,2,4,17,Canada,I,Intermodal Traffic,IT,Originated,2383.0
99,2000-04-24T00:00:00.000Z,2000,2,4,17,Canada,C,Carload Traffic,10,Received,
100,2000-04-24T00:00:00.000Z,2000,2,4,17,Canada,I,Intermodal Traffic,IC,Received,2096.0
101,2000-04-24T00:00:00.000Z,2000,2,4,17,Canada,I,Intermodal Traffic,IT,Received,372.0
102,2000-05-01T00:00:00.000Z,2000,2,4,18,Canada,C,Carload Traffic,10,Originated,2631.0
103,2000-05-01T00:00:00.000Z,2000,2,4,18,Canada,I,Intermodal Traffic,IC,Originated,
104,2000-05-01T00:00:00.000Z,2000,2,4,18,Canada,I,Intermodal Traffic,IT,Originated,2895.0
105,2000-05-01T00:00:00.000Z,2000,2,4,18,Canada,C,Carload Traffic,10,Received,579.0
106,2000-05-01T00:00:00.000Z,2000,2,4,18,Canada,I,Intermodal Traffic,IC,Received,2248.0
107,2000-05-01T00:00:00.000Z,2000,2,4,18,Canada,I,Intermodal Traffic,IT,Received,221.0
108,2000-05-08T00:00:00.000Z,2000,2,5,19,Canada,C,Carload Traffic,10,Originated,
109,2000-05-08T00:00:00.000Z,2000,2,5,19,Canada,I,Intermodal Traffic,IC,Originated,12170.0
110,2000-05-08T00:00:00.000Z,2000,2,5,19,Canada,I,Intermodal Traffic,IT,Originated,1467.0
111,2000-05-08T00:00:00.000Z,2000,2,5,19,Canada,C,Carload Traffic,10,Received,662.0
112,2000-05-08T00:00:00.000Z,2000,2,5,19,Canada,I,Intermodal Traffic,IC,Received,1871.0
113,2000-05-08T00:00:00.000Z,2000,2,5,19,Canada,I,Intermodal Traffic,IT,Received,
114,2000-05-15T00:00:00.000Z,2000,2,5,20,Canada,C,Carload Traffic,10,Originated,
115,2000-05-15T00:00:00.000Z,2000,2,5,20,Canada,I,Intermodal Traffic,IC,Originated,
116,2000-05-15T00:00:00.000Z,2000,2,5,20,Canada,I,Intermodal Traffic,IT,Originated,2527.0
117,2000-05-15T00:00:00.000Z,2000,2,5,20,Canada,C,Carload Traffic,10,Received,923.0
118,2000-05-15T00:00:00.000Z,2000,2,5,20,Canada,I,Intermodal Traffic,IC,Received,2040.0
119,2000-05-15T00:00:00.000Z,2000,2,5,20,Canada,I,Intermodal Traffic,IT,Received,325.0
120,2000-05-22T00:00:00.000Z,2000,2,5,21,Canada,C,Carload Traffic,10,Originated,2385.0
121,2000-05-22T00:00:00.000Z,2000,2,5,21,Canada,I,Intermodal Traffic,IC,Originated,
122,2000-05-22T00:00:00.000Z,2000,2,5,21,Canada,I,Intermodal Traffic,IT,Originated,2895.0
123,2000-05-22T00:00:00.000Z,2000,2,5,21,Canada,C,Carload Traffic,10,Received,850.0
124,2000-05-22T00:00:00.000Z,2000,2,5,21,Canada,I,Intermodal Traffic,IC,Received,
125,2000-05-22T00:00:00.000Z,2000,2,5,21,Canada,I,Intermodal Traffic,IT,Received,368.0
126,2000-05-29T00:00:00.000Z,2000,2,5,22,Canada,C,Carload Traffic,10,Originated,
127,2000-05-29T00:00:00.000Z,2000,2,5,22,Canada,I,Intermodal Traffic,IC,Originated,16139.0
128,2000-05-29T00:00:00.000Z,2000,2,5,22,Canada,I,Intermodal Traffic,IT,Originated,2425.0
129,2000-05-29T00:00:00.000Z,2000,2,5,22,Canada,C,Carload Traffic,10,Received,725.0
130,2000-05-29T00:00:00.000Z,2000,2,5,22,Canada,I,Intermodal Traffic,IC,Received,
131,2000-05-29T00:00:00.000Z,2000,2,5,22,Canada,I,Intermodal Traffic,IT,Received,
132,2000-06-05T00:00:00.000Z,2000,2,6,23,Canada,C,Carload Traffic,10,Originated,2620.0
133,2000-06-05T00:00:00.000Z,2000,2,6,23,Canada,I,Intermodal Traffic,IC,Originated,16910.0
134,2000-06-05T00:00:00.000Z,2000,2,6,23,Canada,I,Intermodal Traffic,IT,Originated,1864.0
135,2000-06-05T00:00:00.000Z,2000,2,6,23,Canada,C,Carload Traffic,10,Received,639.0
136,2000-06-05T00:00:00.000Z,2000,2,6,23,Canada,I,Intermodal Traffic,IC,Received,2372.0
137,2000-06-05T00:00:00.000Z,2000,2,6,23,Canada,I,Intermodal Traffic,IT,Received,
138,2000-06-12T00:00:00.000Z,2000,2,6,24,Canada,C,Carload Traffic,10,Originated,3142.0
139,2000-06-12T00:00:00.000Z,2000,2,6,24,Canada,I,Intermodal Traffic,IC,Originated,9774.0
140,2000-06-12T00:00:00.000Z,2000,2,6,24,Canada,I,Intermodal Traffic,IT,Originated,2092.0
141,2000-06-12T00:00:00.000Z,2000,2,6,24,Canada,C,Carload Traffic,10,Received,587.0
142,2000-06-12T00:00:00.000Z,2000,2,6,24,Canada,I,Intermodal Traffic,IC,Received,
143,2000-06-12T00:00:00.000Z,2000,2,6,24,Canada,I,Intermodal Traffic,IT,Received,603.0
144,2000-06-19T00:00:00.000Z,2000,2,6,25,Canada,C,Carload Traffic,10,Originated,2580.0
145,2000-06-19T00:00:00.000Z,2000,2,6,25,Canada,I,Intermodal Traffic,IC,Originated,
146,2000-06-19T00:00:00.000Z,2000,2,6,25,Canada,I,Intermodal Traffic,IT,Originated,3235.0
147,2000-06-19T00:00:00.000Z,2000,2,6,25,Canada,C,Carload Traffic,10,Received,226.0
148,2000-06-19T00:00:00.000Z,2000,2,6,25,Canada,I,Intermodal Traffic,IC,Received,2825.0
