Date,Population Age 0-14 (growth rate),Population Age 15-64 (growth rate),Population Age 65 (growth rate),Population Rural (growth rate),Population Urban (growth rate),Population Total (growth rate),Population Age 0-14 (absolute),Population Age 15-64 (absolute),Population Age 65 (absolute),Population Rural (absolute),Population Urban (absolute),Population Total (absolute),Population Age 0-14 (distribution),Population Age 15-64 (distribution),Population Age 65 (distribution),Population Rural (distribution),Population Urban (distribution),Population Working Age,Consumer Price Index,Nominal Retail Sales,Labour Productivity (GDP-to-Employed Labor Force),Nominal GDP per Employee,Housing Starts,Interest Rate,Fixed Investment (growth rate),Exports of Goods and Non-Factor Services (growth rate),Imports of Goods and Non-Factor Services (growth rate),Private Consumption (growth rate)
2000-01-01,-0.60,1.19,1.64,-0.94,1.39,0.90,5.90,20.87,3.81,6.31,24.26,30.57,19.29,68.25,12.45,20.66,79.34,20.87,2.58,7.31,80302.92,50174.68,0.15,5.25,3.64,14.00,8.80,4.33
2000-04-01,-0.61,1.23,1.64,-0.91,1.40,0.92,5.89,20.93,3.82,6.30,24.34,30.64,19.22,68.31,12.48,20.57,79.43,20.93,1.85,2.26,80910.78,50406.04,0.14,5.75,2.76,6.07,2.32,3.51
2000-07-01,-0.61,1.26,1.66,-0.86,1.42,0.94,5.88,21.00,3.84,6.29,24.43,30.72,19.14,68.36,12.50,20.48,79.52,21.00,3.71,11.40,81506.00,51255.23,0.16,5.75,4.89,3.35,3.98,5.23
2000-10-01,-0.60,1.29,1.68,-0.81,1.43,0.97,5.87,21.07,3.86,6.28,24.52,30.80,19.07,68.41,12.52,20.39,79.61,21.07,4.39,1.41,81129.54,49917.70,0.15,5.75,1.81,0.72,-3.45,0.94
2001-01-01,-0.56,1.33,1.76,-0.85,1.51,1.02,5.86,21.14,3.87,6.26,24.62,30.88,18.99,68.46,12.55,20.27,79.73,21.14,0.97,2.65,81512.60,50562.67,0.16,5.00,11.34,-6.54,-10.25,3.13
2001-04-01,-0.55,1.35,1.77,-0.72,1.49,1.04,5.86,21.21,3.89,6.26,24.71,30.96,18.92,68.52,12.57,20.21,79.79,21.21,5.33,8.83,81542.58,50104.01,0.17,4.50,5.41,-5.08,-2.78,0.74
2001-07-01,-0.53,1.36,1.78,-0.53,1.46,1.05,5.85,21.29,3.91,6.26,24.79,31.04,18.84,68.57,12.59,20.16,79.84,21.29,0.14,-3.89,81346.15,49249.27,0.16,3.50,5.00,-8.22,-8.87,1.13
2001-10-01,-0.52,1.36,1.77,-0.28,1.40,1.06,5.84,21.36,3.92,6.26,24.86,31.12,18.77,68.62,12.61,20.12,79.88,21.36,-2.02,13.49,81715.28,48018.01,0.17,2.25,-10.37,1.44,-9.21,5.06
2002-01-01,-0.50,1.35,1.72,0.38,1.21,1.05,5.84,21.43,3.94,6.29,24.92,31.21,18.70,68.67,12.63,20.14,79.86,21.43,2.90,9.38,82452.45,48251.17,0.20,2.00,1.01,6.96,2.47,6.23
2002-04-01,-0.49,1.34,1.71,0.61,1.15,1.04,5.83,21.50,3.96,6.30,24.99,31.28,18.63,68.72,12.65,20.12,79.88,21.50,4.41,4.75,82046.02,50116.22,0.20,2.50,5.51,-0.64,20.65,5.27
2002-07-01,-0.50,1.32,1.70,0.75,1.10,1.03,5.82,21.57,3.97,6.30,25.06,31.36,18.56,68.77,12.67,20.10,79.90,21.57,4.50,2.11,81926.78,50088.79,0.20,2.75,6.40,9.37,7.71,0.86
2002-10-01,-0.51,1.30,1.69,0.82,1.06,1.01,5.81,21.63,3.99,6.31,25.12,31.44,18.49,68.82,12.70,20.08,79.92,21.63,3.49,6.35,81889.18,50627.78,0.21,2.75,1.09,-5.49,-0.93,4.01
2003-01-01,-0.53,1.25,1.69,0.57,1.07,0.97,5.80,21.70,4.01,6.32,25.19,31.51,18.42,68.86,12.72,20.06,79.94,21.70,5.22,3.93,81738.06,53127.73,0.21,3.00,3.66,-6.26,3.52,1.76
2003-04-01,-0.56,1.23,1.70,0.56,1.05,0.95,5.80,21.76,4.02,6.33,25.25,31.58,18.35,68.91,12.74,20.04,79.96,21.76,-2.06,0.96,81550.44,56742.27,0.20,3.25,4.05,-7.77,0.77,3.40
2003-07-01,-0.59,1.21,1.71,0.54,1.04,0.94,5.79,21.83,4.04,6.34,25.32,31.66,18.28,68.95,12.77,20.02,79.98,21.83,2.10,6.68,81564.42,58235.97,0.23,2.75,13.17,4.99,0.62,3.52
2003-10-01,-0.62,1.20,1.72,0.53,1.03,0.93,5.78,21.89,4.06,6.35,25.38,31.73,18.20,69.00,12.80,20.00,80.00,21.89,1.70,-1.25,81488.12,61320.74,0.23,2.75,9.41,13.43,20.28,0.45
2004-01-01,-0.68,1.20,1.74,0.53,1.02,0.92,5.77,21.96,4.08,6.36,25.45,31.80,18.13,69.05,12.82,19.98,80.02,21.96,1.95,10.15,81814.80,62147.23,0.22,2.25,9.69,-0.39,3.61,5.17
2004-04-01,-0.71,1.20,1.77,0.53,1.02,0.92,5.75,22.02,4.10,6.36,25.51,31.87,18.05,69.10,12.85,19.96,80.04,22.02,3.12,0.06,82394.45,61395.23,0.23,2.00,6.46,20.19,11.23,1.77
